"Date","Open","Highest_Price","Lowest_Price","Close_Price","Volume"
"1999-01-02","31","31.5","30.6","30.6","9400"
"1999-01-03","30.5","30.6","30.4","30.5","14850"
"1999-01-04","30.4","30.6","30.2","30.2","10500"
"1999-01-05","30.2","30.2","30","30.1","10200"
"1999-01-06","30.2","30.2","28","28.5","45500"
"1999-01-07","28","28","27","27.7","53400"
"1999-01-09","26.2","26.7","26","26.3","56950"
"1999-01-10","26.5","27.1","26","26.2","46500"
"1999-01-11","26.8","26.8","26","26.2","27650"
"1999-01-12","26.1","26.5","26","26.3","24350"
"1999-01-13","26.4","26.8","26.3","26.5","31300"
"1999-01-14","26.7","26.7","26.4","26.7","26250"
"1999-01-23","26.7","27.5","26.7","27.3","46750"
"1999-01-24","27.5","28.4","27.4","28","75050"
"1999-01-25","28.2","28.9","28.2","28.6","44850"
"1999-01-27","28.8","29.7","28.7","29.1","78750"
"1999-01-28","29.2","29.8","29.2","29.3","65800"
"1999-01-30","29","29.4","28.7","28.7","32550"
"1999-01-31","28.5","28.5","27.9","27.9","18200"
"1999-02-01","27.3","28","27.3","27.8","13900"
"1999-02-02","28.2","28.2","27.7","27.8","16500"
"1999-02-03","28","28","27.7","27.7","18200"
"1999-02-04","27.6","27.7","27.1","27.2","28750"
"1999-02-06","27.2","27.4","27","27","16500"
"1999-02-07","26.9","27.1","26.8","26.9","13000"
"1999-02-08","27","27.4","26.8","27","10700"
"1999-02-13","27","27.4","27","27.2","6950"
"1999-02-14","27.3","27.8","27.1","27.5","16200"
"1999-02-15","27.5","27.6","27.3","27.3","13450"
"1999-02-16","27.4","27.8","27.4","27.5","15450"
"1999-02-17","27.9","28.9","27.5","27.6","31700"
"1999-02-18","27.7","27.8","27.5","27.5","22350"
"1999-02-20","27.7","28","27.6","27.8","29600"
"1999-02-22","27.9","28.3","27.8","28.1","32450"
"1999-02-27","28.3","29","28.1","28.9","38600"
"1999-02-28","29.4","29.4","28.6","29.1","34800"
"1999-03-01","29.4","31.5","29.3","29.9","133650"
"1999-03-02","30.2","30.2","29.5","29.5","52900"
"1999-03-03","29.4","29.5","28.8","29","40050"
"1999-03-04","29.2","29.2","28.8","28.9","13250"
"1999-03-06","28.7","29.5","28.5","28.5","11300"
"1999-03-07","28.7","28.7","28.2","28.2","18150"
"1999-03-08","28.2","28.3","28","28.1","15150"
"1999-03-09","28.3","28.4","28.1","28.2","13650"
"1999-03-10","28.1","28.4","28","28","19650"
"1999-03-11","28.2","28.5","28.1","28.1","8250"
"1999-03-13","28.3","28.4","27.9","27.9","57100"
"1999-03-14","28","28.2","27.9","28","14700"
"1999-03-15","28","28.1","27.9","27.9","18900"
"1999-03-16","28.1","28.1","27.9","28","14600"
"1999-03-18","27.6","28.4","27.6","28.2","51550"
"1999-03-20","28","28","27.7","27.8","15250"
"1999-03-21","27.7","27.9","27.6","27.7","12000"
"1999-03-22","27.7","28","27.6","27.9","18100"
"1999-03-23","27.8","28.2","27.8","28.1","13200"
"1999-03-24","28.1","28.3","28","28.2","8350"
"1999-03-25","28.2","28.3","28.1","28.1","9550"
"1999-04-01","28","28","27.4","27.4","47650"
"1999-04-03","27.6","27.8","27.6","27.7","9200"
"1999-04-04","27.7","27.8","27.6","27.6","11350"
"1999-04-05","27.6","27.7","27.5","27.6","14650"
"1999-04-06","27.4","27.5","27.4","27.4","9150"
"1999-04-07","27.3","27.7","27.3","27.5","4650"
"1999-04-08","27.4","27.7","27.3","27.5","11500"
"1999-04-10","27.5","27.5","27.2","27.4","10500"
"1999-04-11","27.3","27.3","27","27.1","17850"
"1999-04-12","27","27","26.8","26.8","9800"
"1999-04-13","27","27.1","26.8","26.9","8950"
"1999-04-15","26.8","26.8","26.1","26.3","17950"
"1999-04-17","26.2","26.5","26.1","26.2","20550"
"1999-04-19","26.8","27.5","26.2","26.5","22050"
"1999-04-20","26.3","26.8","26.1","26.6","20500"
"1999-04-21","26.8","28.4","26.7","27.5","208050"
"1999-04-22","27.6","28.1","27.3","27.5","28100"
"1999-04-24","27.4","27.5","26.8","27","37850"
"1999-04-25","27","27","26.6","26.7","20100"
"1999-04-26","26.8","26.8","26.1","26.3","14550"
"1999-04-28","26.4","26.4","26.1","26.1","6450"
"1999-05-02","25.5","25.5","23","23.1","46800"
"1999-05-03","22.5","23.1","22.5","22.9","7750"
"1999-05-04","23.5","24","23.2","23.8","13900"
"1999-05-05","24","24.1","23.6","24","8000"
"1999-05-06","24.2","25.2","24.2","24.8","21900"
"1999-05-08","24.2","26","24.2","25.7","23150"
"1999-05-09","27","27.7","26.9","27.4","44750"
"1999-05-10","27","27.1","25.7","26","28800"
"1999-05-12","26","26.3","25.4","25.9","13600"
"1999-05-13","25.9","26.5","25.9","26.3","10400"
"1999-05-15","26.5","26.9","25.7","26.1","31700"
"1999-05-16","25.8","26.3","25.6","25.9","7300"
"1999-05-17","26","26.1","25.8","26","10550"
"1999-05-18","26.2","26.2","25.9","25.9","16000"
