#,DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
1,2018-11-29,EBL,35,35,33.7,33.9,34.7,34,104,6.217,"183,040"
2,2018-11-28,EBL,33.9,34.6,33.9,34.5,34,33.9,101,3.828,"112,323"
3,2018-11-27,EBL,33.9,34.4,33.8,34.4,33.9,34,76,3.787,"111,287"
4,2018-11-26,EBL,34,34.2,33.8,33.8,34,34,83,3.135,"92,329"
5,2018-11-25,EBL,33.9,35.7,33.9,35,34,34.1,84,5.169,"151,301"
6,2018-11-22,EBL,34.1,34.5,34.1,34.5,34.1,34.5,40,1.561,"45,723"
7,2018-11-20,EBL,34.4,34.9,33.7,33.7,34.5,33.7,104,6.721,"195,758"
8,2018-11-19,EBL,33.7,34,33.7,33.7,33.7,33.7,104,4.52,"133,806"
9,2018-11-18,EBL,33.7,34,33.5,34,33.7,34,180,4.843,"143,754"
10,2018-11-15,EBL,33.9,34.8,33.9,34.7,34,34.1,138,8.274,"241,632"
11,2018-11-14,EBL,34.2,35.7,34,35.5,34.1,34.9,121,4.783,"137,820"
12,2018-11-13,EBL,35,35.2,34.8,35.2,34.9,34.8,65,2.682,"76,750"
13,2018-11-12,EBL,34.5,35.6,34.5,35.6,34.8,34.6,56,3.097,"88,766"
14,2018-11-11,EBL,35.5,35.5,30.7,30.7,34.6,34.1,85,5.014,"145,094"
15,2018-11-08,EBL,34,34.2,34,34,34.1,34,29,0.974,"28,538"
16,2018-11-07,EBL,34.1,34.2,33.9,33.9,34,33.9,76,4.68,"137,641"
17,2018-11-06,EBL,34,34.5,33.8,34.5,33.9,34.4,55,2.177,"63,759"
18,2018-11-05,EBL,34.4,34.6,34,34,34.4,34.2,58,1.797,"52,229"
19,2018-11-04,EBL,34.1,34.7,33.9,33.9,34.2,34.7,35,1.105,"32,309"
20,2018-11-01,EBL,34.7,35.3,34.6,35.3,34.7,35,64,2.804,"80,473"
21,2018-10-31,EBL,34.8,35,34.5,34.8,35,34.8,69,5.699,"163,681"
22,2018-10-30,EBL,34.9,34.9,34.3,34.7,34.8,34.3,125,4.558,"131,816"
23,2018-10-29,EBL,34.8,35.2,33.5,34,34.3,34.2,142,5.537,"161,158"
24,2018-10-28,EBL,34.2,35,34.2,35,34.2,35.1,65,2.473,"71,990"
25,2018-10-25,EBL,35,35.3,34.6,35.2,35.1,35,41,2.048,"58,411"
26,2018-10-24,EBL,35,35.2,34.7,34.8,35,34.9,111,4.702,"134,380"
27,2018-10-23,EBL,34.5,35,34.2,35,34.9,34.5,48,2.411,"69,188"
28,2018-10-22,EBL,34.4,35,34.2,34.6,34.5,34.6,41,1.315,"37,996"
29,2018-10-21,EBL,34.5,35.3,34.5,35,34.6,34.6,136,6.912,"198,221"
30,2018-10-18,EBL,34.2,35,33.9,34.3,34.6,34,148,3.561,"103,273"
31,2018-10-17,EBL,34,34.4,34,34.4,34,34.1,91,3.538,"103,578"
32,2018-10-16,EBL,34.3,34.3,33.6,33.6,34.1,33.8,31,1.224,"35,978"
33,2018-10-15,EBL,33.6,34.3,33.6,34,33.8,34,186,9.554,"281,362"
34,2018-10-14,EBL,33.9,34.9,33.9,34.1,34,33.9,163,6.395,"187,334"
35,2018-10-11,EBL,33.9,34.4,33.7,34,33.9,33.7,120,9.583,"281,827"
36,2018-10-10,EBL,33.4,35,33.4,34.5,33.7,34.8,129,37.275,"1,092,305"
37,2018-10-09,EBL,34.6,35.1,34.2,34.2,34.8,35,107,2.806,"80,683"
38,2018-10-08,EBL,34.9,35.4,34.5,35.2,35,34.9,76,1.411,"40,180"
39,2018-10-07,EBL,35.1,37.4,33.1,34.3,34.9,34.3,176,4.485,"131,296"
40,2018-10-04,EBL,34.5,34.5,34.1,34.1,34.3,34.2,34,0.652,"19,030"
41,2018-10-03,EBL,34.1,35,34.1,34.6,34.2,34.1,58,2.114,"61,395"
42,2018-10-02,EBL,34.4,34.4,33.7,33.7,34.1,33.7,37,1.767,"51,930"
43,2018-10-01,EBL,33.5,34.7,33.3,33.5,33.7,33.3,42,2.178,"65,125"
44,2018-09-30,EBL,33.3,34,33.2,34,33.3,34.3,83,2.018,"60,201"
45,2018-09-27,EBL,34.6,34.7,34,34.4,34.3,34.4,65,4.906,"143,883"
46,2018-09-26,EBL,34.2,34.9,33.3,33.3,34.4,34,43,1.474,"43,174"
47,2018-09-25,EBL,33.6,35,33.5,34.4,34,34.1,70,1.654,"48,393"
48,2018-09-24,EBL,33.8,35.2,33.8,35.2,34.1,34.6,72,4.668,"135,596"
49,2018-09-23,EBL,34,35.9,34,35.9,34.6,34.7,23,0.643,"18,560"
50,2018-09-20,EBL,34.6,35.4,34.6,35.4,34.7,35.4,52,1.089,"31,300"
51,2018-09-19,EBL,35.6,36,34.5,34.5,35.4,34.5,144,8.34,"238,328"
52,2018-09-18,EBL,34.6,35,33.6,33.7,34.5,33.5,46,1.387,"40,603"
53,2018-09-17,EBL,33.3,33.9,33.3,33.6,33.5,33.6,58,2.383,"70,978"
54,2018-09-16,EBL,33.6,34,33.4,33.6,33.6,34,35,0.839,"24,947"
55,2018-09-13,EBL,34.2,34.9,33.7,34.1,34,34.6,139,5.048,"147,137"
56,2018-09-12,EBL,34.8,35.9,34.4,35.9,34.6,34.9,96,2.562,"73,701"
57,2018-09-11,EBL,34.8,35.2,34.8,35,34.9,35.2,92,3.219,"92,011"
58,2018-09-10,EBL,35,35.5,35,35.3,35.2,35.5,84,1.623,"45,972"
59,2018-09-09,EBL,35.5,36,35.4,35.7,35.5,35.9,76,1.691,"47,483"
60,2018-09-06,EBL,36.2,36.9,35.5,35.6,35.9,35.9,118,3.749,"104,109"
61,2018-09-05,EBL,35.8,36.8,35.8,36.8,35.9,36.1,102,1.931,"53,642"
62,2018-09-04,EBL,35.9,37,35.9,37,36.1,36.6,122,4.41,"122,060"
63,2018-09-03,EBL,36.3,37.1,36.3,37.1,36.6,37,97,2.596,"70,687"
64,2018-08-30,EBL,37,37.7,36.7,36.8,37,37,183,6.415,"173,084"
65,2018-08-29,EBL,37,38,36.9,37.8,37,37.5,184,6.252,"168,056"
66,2018-08-28,EBL,37.7,37.8,37,37,37.5,36.6,233,5.564,"149,144"
67,2018-08-27,EBL,36.2,37.7,36.2,37.4,36.6,37.1,165,14.107,"376,683"
68,2018-08-26,EBL,37.3,38,36.7,38,37.1,38.1,198,9.476,"252,985"
69,2018-08-20,EBL,38.2,38.2,36.8,37.5,38.1,37.5,421,12.855,"341,887"
70,2018-08-19,EBL,37.5,37.6,36.7,37,37.5,36.5,530,22.141,"594,239"
71,2018-08-16,EBL,36.1,37.4,35.9,36,36.5,35.7,443,15.675,"426,484"
72,2018-08-14,EBL,36,36.1,35.1,35.6,35.7,35.8,179,5.037,"141,453"
73,2018-08-13,EBL,35.9,36.4,34.7,35.8,35.8,35.2,467,13.627,"379,611"
74,2018-08-12,EBL,35.4,35.5,33.9,34.1,35.2,34.1,298,20.57,"598,521"
75,2018-08-09,EBL,34.1,34.5,33.4,34,34.1,33.6,191,7.532,"220,913"
76,2018-08-08,EBL,33.7,34,32.5,32.9,33.6,32.2,119,6.283,"188,608"
77,2018-08-07,EBL,32,33.1,32,32.9,32.2,32.3,116,4.12,"126,954"
78,2018-08-06,EBL,32.4,33,32,32,32.3,33,23,0.585,"18,110"
79,2018-08-05,EBL,33,33.3,33,33.1,33,33.2,108,4.43,"134,074"
80,2018-08-02,EBL,33.2,33.2,32.5,32.8,33.2,32.6,129,6.711,"203,216"
81,2018-08-01,EBL,32.7,32.7,32,32,32.6,31.6,122,2.902,"89,414"
82,2018-07-31,EBL,31.5,32.9,30.9,30.9,31.6,31,106,4.588,"145,892"
83,2018-07-30,EBL,31,31.7,30.8,31.6,31,30.9,82,1.998,"64,568"
84,2018-07-29,EBL,31.5,31.5,30.7,30.7,30.9,30.7,39,2.46,"79,499"
85,2018-07-26,EBL,30.7,31.2,30.6,31.1,30.7,31.1,93,4.774,"154,787"
86,2018-07-25,EBL,31.3,31.8,31.1,31.5,31.1,31.5,107,3.69,"117,627"
87,2018-07-24,EBL,31.2,31.7,31.2,31.5,31.5,31.5,67,2.878,"91,327"
88,2018-07-23,EBL,31.3,32,30.5,31,31.5,31.2,102,2.912,"94,218"
89,2018-07-22,EBL,31.2,31.6,31,31.3,31.2,31.5,174,15.056,"482,605"
90,2018-07-19,EBL,31.5,31.7,31.4,31.6,31.5,31.6,124,5.795,"183,581"
91,2018-07-18,EBL,31.6,31.7,31.4,31.4,31.6,31.5,155,4.281,"135,891"
92,2018-07-17,EBL,31.5,31.8,31.1,31.1,31.5,31.2,101,3.214,"101,913"
93,2018-07-16,EBL,31.5,31.6,30.7,30.7,31.2,31.2,193,18.792,"602,074"
94,2018-07-15,EBL,31,32,30.9,32,31.2,32,301,21.431,"686,569"
95,2018-07-12,EBL,32,32.2,31.9,32.2,32,32.2,150,7.426,"232,034"
96,2018-07-11,EBL,32,34,30.5,33.2,32.2,32.9,125,5.843,"176,600"
97,2018-07-10,EBL,33,33.1,32.5,32.5,32.9,32.7,195,18.606,"565,693"
98,2018-07-09,EBL,32.5,33.2,32.1,32.9,32.7,32.9,230,24.387,"741,617"
99,2018-07-08,EBL,33,33.1,32.7,33,32.9,33.1,253,13.712,"415,945"
100,2018-07-05,EBL,33.1,33.6,32.8,33.6,33.1,33.8,158,12.083,"366,055"
101,2018-07-04,EBL,33.9,34,33,33,33.8,33.2,99,3.123,"92,939"
102,2018-07-03,EBL,33.6,33.7,32.4,32.4,33.2,32.7,83,4.043,"121,491"
103,2018-07-02,EBL,32.4,33.7,32.2,33.2,32.7,33.8,56,1.68,"51,210"
104,2018-06-28,EBL,34,34.6,33.5,33.6,33.8,34.1,122,2.265,"66,957"
105,2018-06-27,EBL,33.4,35.1,33.3,35,34.1,34.9,215,4.086,"118,257"
106,2018-06-26,EBL,34.8,35,34.7,34.7,34.9,34.7,100,10.221,"292,936"
107,2018-06-25,EBL,34.7,35,34.6,34.8,34.7,35,113,3.713,"106,730"
108,2018-06-24,EBL,34.8,35.4,34.8,35,35,34.6,189,11.1,"316,770"
109,2018-06-21,EBL,34.5,35,34.5,34.9,34.6,34.5,212,15.544,"448,141"
110,2018-06-20,EBL,34.6,34.9,34.5,34.7,34.5,34.7,106,4.469,"129,276"
111,2018-06-19,EBL,34.5,35,34.5,34.5,34.7,34.5,104,9.88,"284,828"
112,2018-06-18,EBL,34.5,35.6,34.5,35.6,34.5,35.4,103,8.797,"254,719"
113,2018-06-12,EBL,35.2,35.5,35,35,35.4,34.9,64,1.314,"37,160"
114,2018-06-11,EBL,35,35.8,34.8,34.9,34.9,34.8,107,27.505,"787,926"
115,2018-06-10,EBL,34.6,36,34.6,36,34.8,36,91,3.906,"111,686"
116,2018-06-07,EBL,36,38,35.2,38,36,36.7,137,5.882,"162,115"
117,2018-06-06,EBL,37,38,35.4,36.2,36.7,35.4,95,6.861,"190,561"
118,2018-06-05,EBL,35.3,36,35.3,36,35.4,35.4,45,3.079,"86,762"
119,2018-06-04,EBL,35.4,35.9,35.4,35.7,35.4,35.5,51,6.017,"169,385"
120,2018-06-03,EBL,35.7,35.8,34.8,34.8,35.5,36,39,1.982,"55,829"
121,2018-05-31,EBL,35.9,36,35.7,35.8,36,35.8,77,11.438,"318,165"
122,2018-05-30,EBL,35.5,36,35.4,36,35.8,35.9,130,47.357,"1,316,385"
123,2018-05-29,EBL,36,36.2,35.8,36,35.9,36,230,108.191,"3,009,270"
124,2018-05-28,EBL,36.1,36.5,35.5,36.1,36,36.1,207,18.723,"519,821"
125,2018-05-27,EBL,36.1,36.5,35.4,35.4,36.1,35.4,353,17.404,"483,756"
126,2018-05-24,EBL,35.8,35.8,34.5,34.9,35.4,34.5,144,12.19,"350,231"
127,2018-05-23,EBL,34.5,35.1,34,34.1,34.5,34.1,83,7.243,"209,780"
128,2018-05-22,EBL,34.7,34.7,33.6,33.7,34.1,33.6,101,8.831,"261,791"
129,2018-05-21,EBL,33.7,33.7,33.1,33.1,33.6,35.7,304,25.285,"754,937"
130,2018-05-20,EBL,0,0,0,0,35.7,35.7,0,0,0
131,2018-05-17,EBL,36,37.5,35.2,37.5,35.7,37.5,228,9.876,"271,860"
132,2018-05-15,EBL,35.5,36,34.5,34.5,35.6,35.2,155,3.766,"106,523"
133,2018-05-14,EBL,35,36,34.5,34.5,35.2,34.5,189,8.847,"253,375"
134,2018-05-13,EBL,34.5,34.9,34.4,34.5,34.5,34.2,198,10.904,"315,983"
135,2018-05-10,EBL,34.2,34.9,33.9,34.5,34.2,35.2,211,16.383,"479,129"
136,2018-05-09,EBL,35.1,36,35,36,35.2,35.7,57,2.448,"68,820"
137,2018-05-08,EBL,35.1,36.7,35.1,36.7,35.7,36,74,5.529,"153,905"
138,2018-05-07,EBL,36,37.1,36,36.9,36,36.5,79,4.392,"120,031"
139,2018-05-06,EBL,36.9,37,35.7,37,36.5,37,110,6.138,"166,580"
140,2018-05-03,EBL,37,38.5,36.1,36.1,37,38.5,83,3.283,"88,306"
141,2018-04-30,EBL,38.7,39.6,38.4,39.6,38.5,39.6,116,8.943,"229,580"
142,2018-04-26,EBL,39.6,40,39,39,39.6,38.8,129,7.287,"184,334"
143,2018-04-25,EBL,39,39.4,31,38.9,38.8,40.2,299,18.471,"484,616"
144,2018-04-24,EBL,40,40.6,39.9,40,40.2,40,48,2.29,"57,145"
145,2018-04-23,EBL,40.1,40.3,39.5,39.5,40,39.7,140,10.489,"262,019"
146,2018-04-22,EBL,40,40.6,39.4,39.6,39.7,40.3,144,10.031,"250,609"
147,2018-04-19,EBL,40,41.4,40,40.5,40.3,41.1,203,10.59,"260,380"
148,2018-04-18,EBL,41.6,41.9,39,39.9,41.1,39,164,8.696,"216,596"
149,2018-04-17,EBL,39,39.5,38.7,39.5,39,39.6,139,10.023,"256,986"
150,2018-04-16,EBL,39.6,40,38.5,39.5,39.6,39.5,109,6.587,"166,492"
151,2018-04-15,EBL,39.4,39.9,39.4,39.5,39.5,40.4,73,3.125,"79,017"
152,2018-04-12,EBL,40.4,40.8,40.2,40.7,40.4,40.6,53,4.159,"102,899"
153,2018-04-11,EBL,40.7,42.1,40.4,42.1,40.6,41.3,127,5.085,"124,444"
154,2018-04-10,EBL,41.2,42.4,41,42.4,41.3,42.4,194,9.178,"220,231"
155,2018-04-09,EBL,42.6,43.2,42.3,43,42.4,43.1,231,9.365,"219,303"
156,2018-04-08,EBL,43,43.8,41.7,41.7,43.1,41.7,382,30.489,"705,072"
157,2018-04-05,EBL,41.8,41.9,41.4,41.7,41.7,41.5,243,15.552,"372,913"
158,2018-04-04,EBL,40.9,42.3,40.9,42,41.5,41.8,166,8.789,"209,346"
159,2018-04-03,EBL,41.9,42.2,41.6,42.1,41.8,41.8,409,45.53,"1,087,219"
160,2018-04-02,EBL,41.7,42.2,41,42,41.8,41.2,222,14.854,"355,422"
161,2018-04-01,EBL,41.2,42.1,40.2,41,41.2,40.2,355,18.311,"446,480"
162,2018-03-29,EBL,39.8,40.4,38.8,39.3,40.2,38.7,123,6.608,"165,533"
163,2018-03-28,EBL,39,39.8,37,37,38.7,37.5,118,4.436,"115,275"
164,2018-03-27,EBL,37.4,38,37.3,38,37.5,37.7,31,0.722,"19,227"
165,2018-03-25,EBL,37.7,41.3,37.5,41.3,37.7,37.8,100,5.593,"146,819"
166,2018-03-22,EBL,37.5,38.6,36.8,37.5,37.8,36.9,152,6.895,"183,546"
167,2018-03-21,EBL,36.9,38,36.1,38,36.9,38,83,3.779,"101,714"
168,2018-03-20,EBL,37.9,39.3,37.9,38.1,38,38.8,84,2.72,"71,265"
169,2018-03-19,EBL,38.5,39.9,38.5,39.1,38.8,40,36,0.702,"17,963"
170,2018-03-18,EBL,40,40.5,39.5,39.7,40,39.6,73,2.989,"74,709"
171,2018-03-15,EBL,40.6,41.6,38.4,39.6,39.6,38.8,343,27.153,"686,028"
172,2018-03-14,EBL,38.9,39.3,37.6,39.3,38.8,39,46,1.9,"49,205"
173,2018-03-13,EBL,38.9,39.6,38.7,39.1,39,39,61,1.757,"45,197"
174,2018-03-12,EBL,39.3,39.3,38.8,39.2,39,39.4,103,4.861,"124,989"
175,2018-03-11,EBL,39.2,40.2,39.1,40.2,39.4,40.2,60,1.435,"36,188"
176,2018-03-08,EBL,40,40.9,39.5,40.4,40.2,40.4,92,2.883,"71,851"
177,2018-03-07,EBL,40.4,41.5,40.2,41.2,40.4,41.2,52,1.109,"27,251"
178,2018-03-06,EBL,41.1,41.7,40.1,40.1,41.2,41,71,2.405,"58,525"
179,2018-03-05,EBL,41,42.6,40.9,42,41,42.6,113,3.359,"81,357"
180,2018-03-04,EBL,40.9,44,40.9,43.5,42.6,42.6,105,4.322,"100,352"
181,2018-03-01,EBL,42,42.8,41.4,41.4,42.6,41.4,122,7.276,"172,921"
