#,DATE,TRADING CODE,LTP*,HIGH,LOW,OPENP*,CLOSEP*,YCP,TRADE,VALUE (mn),VOLUME
1,2018-11-29,SQURPHARMA,264.1,264.5,258.5,259,263.5,258.1,"2,754",203.684,"777,155"
2,2018-11-28,SQURPHARMA,258,259.9,254,258,258.1,274.5,"2,588",185.066,"718,651"
3,2018-11-27,SQURPHARMA,0,0,0,0,274.5,274.5,0,0,0
4,2018-11-26,SQURPHARMA,275.8,276.5,272.7,275.5,274.5,275.3,"2,372",152.229,"553,995"
5,2018-11-25,SQURPHARMA,275,280.6,274.4,279,275.3,278.2,"1,680",82.561,"298,136"
6,2018-11-22,SQURPHARMA,277.8,280.5,275,276,278.2,274.4,"3,225",242.327,"869,819"
7,2018-11-20,SQURPHARMA,275,275,268.7,269.9,274.4,267.6,"2,610",165.698,"607,869"
8,2018-11-19,SQURPHARMA,267,269,265.6,265.7,267.6,265.6,"1,493",118.481,"443,304"
9,2018-11-18,SQURPHARMA,265,269,263.2,264.9,265.6,263.1,976,63.234,"237,499"
10,2018-11-15,SQURPHARMA,263,265,262.6,264,263.1,263.1,"1,192",64.896,"246,454"
11,2018-11-14,SQURPHARMA,265,266.5,262.6,265.4,263.1,265.3,951,61.092,"231,375"
12,2018-11-13,SQURPHARMA,265,267.8,262.9,265,265.3,262.7,890,79.233,"300,365"
13,2018-11-12,SQURPHARMA,262.8,270.6,261.6,270.6,262.7,267.2,"2,010",151.579,"572,099"
14,2018-11-11,SQURPHARMA,267,271.6,264.3,265.1,267.2,264.6,705,36.648,"137,248"
15,2018-11-08,SQURPHARMA,264.8,266,264,265,264.6,264.8,735,29.9,"112,910"
16,2018-11-07,SQURPHARMA,265.5,265.5,263.8,263.8,264.8,263.8,675,21.115,"79,746"
17,2018-11-06,SQURPHARMA,264.1,264.9,263.5,264.4,263.8,264.3,985,83.688,"316,989"
18,2018-11-05,SQURPHARMA,265.9,265.9,263.3,264,264.3,264,980,77.287,"292,411"
19,2018-11-04,SQURPHARMA,264.4,265,263.3,263.9,264,263.9,558,18.867,"71,479"
20,2018-11-01,SQURPHARMA,263.8,267.3,263.5,267.3,263.9,267.2,"1,021",32.531,"122,912"
21,2018-10-31,SQURPHARMA,267.5,268.5,266,268,267.2,267.1,906,193.673,"725,267"
22,2018-10-30,SQURPHARMA,267.4,268.1,265.5,267.3,267.1,265.8,789,46.405,"173,876"
23,2018-10-29,SQURPHARMA,266.1,266.6,261.5,261.5,265.8,261.3,"1,283",85.676,"324,390"
24,2018-10-28,SQURPHARMA,261.5,264.9,260.9,264.9,261.3,262.8,"1,018",32.888,"125,401"
25,2018-10-25,SQURPHARMA,265,266,262,264.5,262.8,263.7,"1,190",61.643,"233,927"
26,2018-10-24,SQURPHARMA,264,265.7,261.7,263.7,263.7,262.1,"1,364",59.21,"224,830"
27,2018-10-23,SQURPHARMA,262.6,265,261.6,264,262.1,263,"1,605",89.976,"342,915"
28,2018-10-22,SQURPHARMA,263.5,269.7,262,269.7,263,268.6,"2,285",197.039,"746,498"
29,2018-10-21,SQURPHARMA,268.5,273,267.7,268.7,268.6,265.7,974,43.369,"160,931"
30,2018-10-18,SQURPHARMA,265,268.8,264.9,267.4,265.7,267.3,"1,266",66.104,"248,134"
31,2018-10-17,SQURPHARMA,267.1,269.5,266.6,269.5,267.3,268.8,"1,344",71.769,"268,229"
32,2018-10-16,SQURPHARMA,268.5,270.9,268.1,268.8,268.8,268.1,911,119.468,"444,145"
33,2018-10-15,SQURPHARMA,268.1,275,267.8,272.5,268.1,272.3,"2,189",80.237,"298,218"
34,2018-10-14,SQURPHARMA,272.4,273,270.6,272.6,272.3,272.4,813,34,"124,956"
35,2018-10-11,SQURPHARMA,271.9,277.9,271.2,277.9,272.4,277.7,"1,822",68.489,"250,772"
36,2018-10-10,SQURPHARMA,277.1,282.2,276.9,282.2,277.7,280.1,"1,214",63.397,"226,975"
37,2018-10-09,SQURPHARMA,280.7,284.6,271.3,271.3,280.1,271.3,"3,480",219.83,"786,499"
38,2018-10-08,SQURPHARMA,271.8,271.8,268.1,270.1,271.3,268.9,873,44.067,"162,757"
39,2018-10-07,SQURPHARMA,269.3,271,268.4,271,268.9,271.4,992,45.4,"168,783"
40,2018-10-04,SQURPHARMA,271,273.6,268.5,270.9,271.4,270.9,"1,307",89.423,"331,477"
41,2018-10-03,SQURPHARMA,271,273,270.6,272,270.9,272.5,548,29.287,"107,989"
42,2018-10-02,SQURPHARMA,272.4,275,272,275,272.5,273.1,614,29.318,"107,382"
43,2018-10-01,SQURPHARMA,274.8,274.8,270.8,272.5,273.1,272.7,787,51.476,"188,855"
44,2018-09-30,SQURPHARMA,273.6,275.9,269,269.3,272.7,270.3,923,63.193,"232,731"
45,2018-09-27,SQURPHARMA,270,272.9,269,271.9,270.3,271.8,811,45.065,"166,462"
46,2018-09-26,SQURPHARMA,272.4,274,271,272,271.8,271.1,795,32.269,"118,720"
47,2018-09-25,SQURPHARMA,272.1,272.1,266.9,268,271.1,267.7,"1,084",59.268,"220,419"
48,2018-09-24,SQURPHARMA,267.8,269,267.1,268.1,267.7,268,790,36.23,"135,315"
49,2018-09-23,SQURPHARMA,267.8,268.5,266.1,266.7,268,266.5,"1,138",69.713,"260,943"
50,2018-09-20,SQURPHARMA,266.2,269,266,269,266.5,266.6,"1,407",72.404,"271,575"
51,2018-09-19,SQURPHARMA,267.8,271.9,266,270,266.6,270.2,"1,771",78.19,"291,449"
52,2018-09-18,SQURPHARMA,269.5,272,269.5,272,270.2,270.1,794,44.482,"164,521"
53,2018-09-17,SQURPHARMA,271,272.9,269.5,272.9,270.1,271.4,"1,011",52.061,"192,350"
54,2018-09-16,SQURPHARMA,271.9,272.8,268.8,270,271.4,270.1,904,43.537,"160,503"
55,2018-09-13,SQURPHARMA,268.6,273.8,268.6,272.6,270.1,272.1,"1,411",105.149,"387,240"
56,2018-09-12,SQURPHARMA,271.9,273.3,270,271,272.1,270.7,"1,025",88.538,"325,845"
57,2018-09-11,SQURPHARMA,270.1,274,270.1,274,270.7,272.4,"1,359",64.772,"238,808"
58,2018-09-10,SQURPHARMA,272.5,275,271.9,275,272.4,274.6,"1,550",88.515,"323,838"
59,2018-09-09,SQURPHARMA,274.1,276,273.9,275.1,274.6,275.1,"1,080",60.139,"218,992"
60,2018-09-06,SQURPHARMA,276.9,278.5,274.5,277.2,275.1,277,"1,240",104.609,"378,209"
61,2018-09-05,SQURPHARMA,278,278.8,276.1,278,277,277.7,"1,139",75.434,"272,026"
62,2018-09-04,SQURPHARMA,277.4,279.7,277.1,279.6,277.7,278.9,713,91.436,"328,136"
63,2018-09-03,SQURPHARMA,279,280,278,279.9,278.9,277.4,768,61.95,"222,017"
64,2018-08-30,SQURPHARMA,279,280.2,277,278,277.4,277.2,"1,146",118.278,"425,305"
65,2018-08-29,SQURPHARMA,279.5,279.5,275.5,277.2,277.2,277.1,"1,287",159.062,"575,098"
66,2018-08-28,SQURPHARMA,277,278.9,276.3,278.7,277.1,277.7,"1,265",65.813,"237,473"
67,2018-08-27,SQURPHARMA,278.1,280.5,277.3,278.6,277.7,278.6,"1,042",64.618,"231,766"
68,2018-08-26,SQURPHARMA,280,280,276,277.5,278.6,276.2,850,35.434,"127,441"
69,2018-08-20,SQURPHARMA,275.9,280.9,275.3,276.3,276.2,276.4,"1,079",55.548,"200,506"
70,2018-08-19,SQURPHARMA,276.9,277,273.4,273.9,276.4,273,937,33.526,"121,638"
71,2018-08-16,SQURPHARMA,273.6,275.9,272.8,274,273,274.2,"1,195",91.068,"332,813"
72,2018-08-14,SQURPHARMA,274.9,275.2,267.2,268.9,274.2,266.5,"1,137",51.896,"191,099"
73,2018-08-13,SQURPHARMA,267,271.5,266,270,266.5,269.9,"1,907",103.204,"385,302"
74,2018-08-12,SQURPHARMA,272.2,273.8,269,272.9,269.9,273.9,"1,360",60.169,"222,526"
75,2018-08-09,SQURPHARMA,273.9,275.6,273.5,275,273.9,275.8,866,41.266,"150,406"
76,2018-08-08,SQURPHARMA,275.9,278.2,275,275.7,275.8,275.7,"1,043",41.276,"149,212"
77,2018-08-07,SQURPHARMA,275.1,276.8,272,272,275.7,272.4,"1,094",34.965,"127,350"
78,2018-08-06,SQURPHARMA,273.6,274,269.4,270,272.4,270,887,51.716,"191,257"
79,2018-08-05,SQURPHARMA,269.6,272.9,269,272.9,270,272.9,819,27.623,"102,017"
80,2018-08-02,SQURPHARMA,272.7,275.1,271,271.7,272.9,271.7,"1,212",54.741,"200,360"
81,2018-08-01,SQURPHARMA,271.4,273,268,268,271.7,267.6,"1,173",57.281,"210,890"
82,2018-07-31,SQURPHARMA,267.7,270.2,264.5,265,267.6,264.2,"1,328",60.508,"225,834"
83,2018-07-30,SQURPHARMA,263.9,266.9,263,266.2,264.2,266.2,"1,928",87.124,"329,591"
84,2018-07-29,SQURPHARMA,265.7,270.9,265.7,270.9,266.2,269.8,"2,551",132.139,"494,172"
85,2018-07-26,SQURPHARMA,270.5,273,269,273,269.8,271.1,"1,978",93.804,"347,424"
86,2018-07-25,SQURPHARMA,270,275,269.9,273,271.1,273,"2,433",131.929,"485,108"
87,2018-07-24,SQURPHARMA,273.1,274.7,272,272,273,273.8,"1,726",107.679,"394,337"
88,2018-07-23,SQURPHARMA,274,277,272.9,276,273.8,275.2,"2,969",155.549,"567,956"
89,2018-07-22,SQURPHARMA,275.4,279.9,274.8,279.3,275.2,278.3,"2,986",158.522,"574,858"
90,2018-07-19,SQURPHARMA,279.8,281,278,280,278.3,278.9,"1,543",86.771,"310,624"
91,2018-07-18,SQURPHARMA,280,280,276.5,278.8,278.9,276.6,"1,239",52.586,"189,520"
92,2018-07-17,SQURPHARMA,276.9,281.9,276,281.8,276.6,281,"3,232",190.91,"687,442"
93,2018-07-16,SQURPHARMA,281,284,280,282,281,281.7,"1,553",69.259,"246,218"
94,2018-07-15,SQURPHARMA,280.9,284.7,280.7,282.9,281.7,281.9,"1,474",104.04,"368,262"
95,2018-07-12,SQURPHARMA,283,285.8,281.1,285,281.9,283.8,"1,712",70.993,"251,336"
96,2018-07-11,SQURPHARMA,284,288.8,282,285.1,283.8,284.6,"1,604",83.279,"291,193"
97,2018-07-10,SQURPHARMA,285,287,284.4,284.5,284.6,285,900,64.423,"225,872"
98,2018-07-09,SQURPHARMA,285.3,287.9,284.3,286,285,285.2,"1,013",99.484,"349,118"
99,2018-07-08,SQURPHARMA,285,285.8,283.6,283.7,285.2,284.4,959,71.926,"252,356"
100,2018-07-05,SQURPHARMA,285.4,286.5,282,283.9,284.4,283.9,"1,444",76.099,"268,709"
101,2018-07-04,SQURPHARMA,283.5,286.9,283.2,286.9,283.9,283.3,844,52.789,"185,689"
102,2018-07-03,SQURPHARMA,285,288,282.8,287,283.3,284.7,"1,021",35.949,"126,049"
103,2018-07-02,SQURPHARMA,285.4,294,284.2,294,284.7,293.1,"1,808",163.188,"568,736"
104,2018-06-28,SQURPHARMA,294,295,289,293,293.1,291.7,"2,159",146.094,"500,791"
105,2018-06-27,SQURPHARMA,291.9,295,290,292.4,291.7,291.6,"2,002",151.198,"516,219"
106,2018-06-26,SQURPHARMA,293.5,294,290.5,292.3,291.6,292.3,"1,383",70.574,"242,087"
107,2018-06-25,SQURPHARMA,292.1,296,292,293.7,292.3,293.7,"1,422",71.688,"244,482"
108,2018-06-24,SQURPHARMA,293.1,299,287.1,287.1,293.7,287,"1,974",108.71,"368,919"
109,2018-06-21,SQURPHARMA,287.9,288.3,285,285,287,283.5,"1,725",111.224,"387,261"
110,2018-06-20,SQURPHARMA,283.5,286,282.1,285.9,283.5,284.6,"2,005",125.36,"440,486"
111,2018-06-19,SQURPHARMA,284.1,287,282.5,285.4,284.6,285.1,"1,569",121.25,"424,207"
112,2018-06-18,SQURPHARMA,285.1,286.3,284.6,286.1,285.1,285.8,"1,141",82.761,"290,284"
113,2018-06-12,SQURPHARMA,285.9,286.8,283,284.8,285.8,282,"1,725",114.683,"403,045"
114,2018-06-11,SQURPHARMA,281.7,283.9,280.8,280.8,282,279.9,"1,917",201.364,"713,430"
115,2018-06-10,SQURPHARMA,279,284.9,278.9,284.9,279.9,283.9,"1,603",65.281,"232,446"
116,2018-06-07,SQURPHARMA,283.8,287.7,282.9,287.7,283.9,284.9,"1,633",86.706,"304,959"
117,2018-06-06,SQURPHARMA,284.9,294.9,284.4,294.9,284.9,289.9,"2,014",120.422,"419,744"
118,2018-06-05,SQURPHARMA,289.9,290,284.2,284.2,289.9,284.2,"1,674",126.311,"436,953"
119,2018-06-04,SQURPHARMA,284,285,275.4,279.6,284.2,276.7,"1,425",128.063,"453,469"
120,2018-06-03,SQURPHARMA,278.2,282.4,275.1,282.4,276.7,282.2,"2,236",128.007,"458,951"
121,2018-05-31,SQURPHARMA,282.4,286.5,280.5,286.5,282.2,286.5,"2,586",159.659,"565,153"
122,2018-05-30,SQURPHARMA,286.8,290.8,285.4,288.4,286.5,288.4,"1,311",65.208,"226,013"
123,2018-05-29,SQURPHARMA,290,294.5,287.5,294.5,288.4,292,"1,743",85.462,"294,543"
124,2018-05-28,SQURPHARMA,292.1,297.4,291.5,296,292,295.3,"1,435",82.007,"278,799"
125,2018-05-27,SQURPHARMA,294.8,298,292,292,295.3,291.9,811,37.114,"125,666"
126,2018-05-24,SQURPHARMA,291.9,292,288.6,290.2,291.9,290.6,972,48.545,"166,983"
127,2018-05-23,SQURPHARMA,290,293.5,289.7,293.5,290.6,293.4,"1,398",87.556,"300,828"
128,2018-05-22,SQURPHARMA,293.6,298.8,292.8,295.4,293.4,294.8,"1,351",74.723,"253,968"
129,2018-05-21,SQURPHARMA,294.8,305,293.4,294,294.8,294.1,"1,154",114.198,"385,221"
130,2018-05-20,SQURPHARMA,293.7,299.8,292.5,297,294.1,296.5,"1,655",101.244,"343,181"
131,2018-05-17,SQURPHARMA,296.9,303.7,295.5,302.9,296.5,300.1,"1,659",91.303,"306,039"
132,2018-05-16,SQURPHARMA,300.7,304.5,298.4,302,300.1,302.6,"1,615",119.898,"398,176"
133,2018-05-15,SQURPHARMA,302.5,303.6,302.1,302.2,302.6,302.1,924,48.14,"158,912"
134,2018-05-14,SQURPHARMA,302.2,302.9,300.8,302,302.1,302.1,"1,046",51.496,"170,587"
135,2018-05-13,SQURPHARMA,302.5,304.9,301,304.9,302.1,302.2,913,64.563,"213,331"
136,2018-05-10,SQURPHARMA,302.8,304.8,299.9,304.8,302.2,303.1,"1,094",91.5,"303,420"
137,2018-05-09,SQURPHARMA,300.9,303.7,300,301.1,303.1,300.4,"1,621",124.027,"410,764"
138,2018-05-08,SQURPHARMA,300.2,304,299,303.5,300.4,303,"2,098",191.668,"637,422"
139,2018-05-07,SQURPHARMA,302.9,305.9,302.8,305,303,304.9,"1,749",134.773,"443,414"
140,2018-05-06,SQURPHARMA,304.9,307,304.3,304.5,304.9,304.3,"1,235",78.524,"257,333"
141,2018-05-03,SQURPHARMA,304,308.9,303.9,307.3,304.3,306.9,"1,910",108.162,"354,061"
142,2018-04-30,SQURPHARMA,307.6,312,306.4,312,306.9,310.8,"2,165",180.808,"586,629"
143,2018-04-26,SQURPHARMA,312,312,310.2,312,310.8,310.8,"1,039",68.464,"220,162"
144,2018-04-25,SQURPHARMA,310.7,312.9,310,312,310.8,311.2,"1,726",120.606,"387,764"
145,2018-04-24,SQURPHARMA,312,313.5,309.5,313,311.2,312.8,"1,693",123.437,"396,688"
146,2018-04-23,SQURPHARMA,313.2,315,312.1,314,312.8,313.7,903,72.641,"231,768"
147,2018-04-22,SQURPHARMA,314,316,313.5,314.1,313.7,315,849,62.52,"198,740"
148,2018-04-19,SQURPHARMA,314.7,316.4,312.7,313.5,315,312.9,"1,379",133.774,"425,076"
149,2018-04-18,SQURPHARMA,313.4,314.4,312.5,314.4,312.9,313.8,860,69.104,"220,841"
150,2018-04-17,SQURPHARMA,313.5,314.7,313,314.7,313.8,313.6,739,81.609,"260,133"
151,2018-04-16,SQURPHARMA,314.1,314.9,311.7,314.3,313.6,314.1,"1,108",60.938,"194,707"
152,2018-04-15,SQURPHARMA,314.1,315,313.9,314.3,314.1,313.9,578,41.462,"131,987"
153,2018-04-12,SQURPHARMA,313.8,315.3,313.6,314.9,313.9,314.6,770,92.911,"295,464"
154,2018-04-11,SQURPHARMA,314.7,317.3,313.6,317.3,314.6,316.8,"1,117",62.734,"198,792"
155,2018-04-10,SQURPHARMA,317,318.9,316.3,318,316.8,316.9,"1,005",71.9,"226,380"
156,2018-04-09,SQURPHARMA,318.6,318.7,313.9,314.4,316.9,314.8,"1,153",118.151,"374,418"
157,2018-04-08,SQURPHARMA,314.5,315.5,314.4,314.6,314.8,315.2,"1,007",91.161,"289,417"
158,2018-04-05,SQURPHARMA,315.2,316,313.5,313.5,315.2,314.1,"1,084",101.271,"321,797"
159,2018-04-04,SQURPHARMA,315,315,313.2,314.8,314.1,313.8,760,79.651,"253,690"
160,2018-04-03,SQURPHARMA,314,316,313.3,315,313.8,315,746,74.111,"235,718"
161,2018-04-02,SQURPHARMA,315,316.2,312.5,313.5,315,312.5,"1,214",105.305,"334,949"
162,2018-04-01,SQURPHARMA,312.5,314.9,310.9,311,312.5,310,"1,020",58.943,"188,498"
163,2018-03-29,SQURPHARMA,309.7,314,304.3,304.3,310,304.8,"1,540",173.859,"566,273"
