Date,Open,Highest_Price,Lowest_Price,Close_Price,Volume
2009-11-16,160,195,160,177.3,7430400
2009-11-17,176.1,186,170.1,171.1,2832800
2009-11-18,170.1,170.2,158,158.2,2732000
2009-11-19,158.1,167.9,152,164,1627200
2009-11-22,167,168.9,163,165.7,872400
2009-11-23,164.1,170,164.1,168.5,1091600
2009-11-24,170,177,168.8,174.8,1321800
2009-11-25,175.9,180,175.9,179.3,1232000
2009-11-26,180,182,178,180,1126800
2009-12-01,182,182.9,177,177.3,1112600
2009-12-02,177.1,177.5,174.2,174.7,921600
2009-12-03,174.4,175.4,172.4,173.6,773200
2009-12-06,175,176,171.5,171.8,796200
2009-12-07,172,173.8,170,170.1,752800
2009-12-08,170,171.2,168.6,169.4,555000
2009-12-09,171.9,173.9,169,170.7,718200
2009-12-10,170.6,172,167.8,169.2,924400
2009-12-13,170,173,168,171.6,813600
2009-12-14,172,178.2,172,176,1002600
2009-12-15,175.5,179,172.3,172.8,745000
2009-12-17,174,174,170.5,171.1,424400
2009-12-20,171,171.9,170,170.1,626400
2009-12-21,171.9,171.9,169.7,170.8,550000
2009-12-22,171,178,171,176.7,1074600
2009-12-23,178.3,181.4,177,180.2,1776600
2009-12-24,181,183.8,179.4,182.5,1584200
2009-12-27,183.9,190,183.5,189.7,1863600
2009-12-29,190,194.9,188.2,188.6,1420400
2009-12-30,189.5,190,186.4,187.5,1442400
2010-01-03,187,192.3,187,189.3,962200
2010-01-04,190,198.9,190,197.9,2749600
2010-01-05,199,202,195.2,196.5,2061800
2010-01-06,196,197.8,195,196.4,1436200
2010-01-07,197,197,193.5,193.8,1259600
2010-01-10,193.9,194.4,190.2,192.3,1605400
2010-01-11,193.9,197.4,192.8,196.8,1784800
2010-01-12,197.4,207,197.4,206,5308600
2010-01-13,206.5,209,197.6,201.2,2952200
2010-01-14,203,213.9,203,211.7,3507000
2010-01-17,214,215,210.2,211,3133200
2010-01-18,212.5,219.9,209.2,219.5,3351800
2010-01-19,220,225.8,219.5,224.4,3606800
2010-01-20,226.9,227.9,222.5,226.9,2603800
2010-01-21,227.7,244.9,227.5,244.4,5070200
2010-01-24,244.9,254.9,236,252.6,3997200
2010-01-25,255,288,251,278.4,4675000
2010-01-26,275,275,238.5,255,4564600
2010-01-27,259.9,264,250,259,2219400
2010-01-28,262,275,259,272.1,2761600
2010-01-31,273,274.9,265,266.9,2327600
2010-02-01,265.2,280,265.2,279.4,3569600
2010-02-02,275.5,290,270,286.8,2825600
2010-02-03,290,300,285.1,287.3,4040200
2010-02-04,285,296,282.5,290.9,3093600
2010-02-07,291,296.9,290,292.6,1584200
2010-02-08,294.5,312,294.1,310.6,5377000
